GeneID	Type	Chromosome	Start	End
AURKAIP1	Gene	chr1	1292163	1313595
PRDM16	Gene	chr1	3121765	3166685
nonCoding26	Noncoding	chr1	4092100	4102100
ACOT7	Gene	chr1	6430570	6499187
VPS13D	Gene	chr1	12315944	12335944
VPS13D	Gene	chr1	12352531	12372531
nonCoding240	Noncoding	chr1	12861992	12871992
KAZN	Gene	chr1	14418659	14428659
MUL1	Gene	chr1	20822948	20842948
NBPF3	Gene	chr1	21793892	21803892
nonCoding428	Noncoding	chr1	25011952	25021952
nonCoding441	Noncoding	chr1	25435426	25445426
RSRP1,SYF2	Gene	chr1	25551206	25571206
nonCoding448	Noncoding	chr1	25839351	25849351
LDLRAP1	Gene	chr1	25873993	25883993
ARID1A,nonCoding466	Gene	chr1	27002641	27046749
ARID1A	Gene	chr1	27056749	27066749
ARID1A,PIGV	Gene	chr1	27076749	27116749
GPN2,GPATCH3	Gene	chr1	27210512	27220512
NUDC	Gene	chr1	27241692	27272847
WDTC1	Gene	chr1	27623350	27633350
nonCoding473,nonCoding474	Noncoding	chr1	28016645	28036645
TAF12,RAB42	Gene	chr1	28919249	28929249
EPB41	Gene	chr1	29261995	29291995
nonCoding553	Noncoding	chr1	30686240	30736240
nonCoding597	Noncoding	chr1	31628427	31638427
ADGRB2	Gene	chr1	32208968	32240122
KHDRBS1	Gene	chr1	32504168	32514168
KPNA6	Gene	chr1	32607010	32617010
ZBTB8A,AL033529.1	Gene	chr1	33005634	33015634
SYNC,RBBP4	Gene	chr1	33124784	33164875
CSMD2	Gene	chr1	34117129	34127129
ZMYM6,AC114490.2	Gene	chr1	35458734	35478734
SFPQ	Gene	chr1	35640204	35650204
ZMYM4	Gene	chr1	35780450	35886246
nonCoding678	Noncoding	chr1	36107860	36144518
GRIK3	Gene	chr1	37279490	37319490
nonCoding711	Noncoding	chr1	37567723	37577723
GNL2,DNALI1	Gene	chr1	38023752	38053752
MTF1	Gene	chr1	38309564	38331992
nonCoding781	Noncoding	chr1	39004500	39014500
MACF1	Gene	chr1	39789146	39799146
EXO5	Gene	chr1	40964012	40984012
SCMH1,SLFNL1	Gene	chr1	41486070	41528807
SCMH1	Gene	chr1	41604504	41694089
HIVEP3	Gene	chr1	42158655	42168655
FOXJ3	Gene	chr1	42703160	42763518
NASP	Gene	chr1	46053505	46073505
nonCoding901	Noncoding	chr1	46790361	46800361
FAAH	Gene	chr1	46866891	46886891
